vehicle_id,snapshot_date,make,model,year,mileage_km,vehicle_age_years,component,km_since_oil_change,km_since_brake_service,km_since_battery_change,km_since_coolant_flush,avg_rpm_30d,std_rpm_30d,avg_coolant_temp_30d,max_coolant_temp_30d,avg_voltage_30d,min_voltage_30d,avg_speed_30d,avg_throttle_30d,fuel_trim_mean_30d,fuel_trim_std_30d,dtc_count_7d,dtc_count_30d,dtc_count_90d,rpm_speed_ratio,coolant_delta_30d,voltage_drop_30d,driving_aggression_score,idle_time_pct,highway_pct,total_engine_hours,risk_level
VH-0001,2024-01-01,Hyundai,Tucson,2019,57887,7,battery,6724,10450,47355,9777,2432.6,822.0,89.4,100.9,14.37,13.38,34.8,31.4,-8.72,6.19,0,1,0,69.86,11.43,0.99,0.244,16.2,56.0,1662.4,low_risk
VH-0001,2024-01-01,Hyundai,Tucson,2019,57887,7,brakes,6724,10450,47355,9777,2432.6,822.0,89.4,100.9,14.37,13.38,34.8,31.4,-8.72,6.19,0,1,0,69.86,11.43,0.99,0.244,16.2,56.0,1662.4,no_risk
VH-0001,2024-01-01,Hyundai,Tucson,2019,57887,7,cooling_system,6724,10450,47355,9777,2432.6,822.0,89.4,100.9,14.37,13.38,34.8,31.4,-8.72,6.19,0,1,0,69.86,11.43,0.99,0.244,16.2,56.0,1662.4,medium_risk
VH-0001,2024-01-01,Hyundai,Tucson,2019,57887,7,transmission,6724,10450,47355,9777,2432.6,822.0,89.4,100.9,14.37,13.38,34.8,31.4,-8.72,6.19,0,1,0,69.86,11.43,0.99,0.244,16.2,56.0,1662.4,medium_risk
VH-0001,2024-01-01,Hyundai,Tucson,2019,57887,7,engine,6724,10450,47355,9777,2432.6,822.0,89.4,100.9,14.37,13.38,34.8,31.4,-8.72,6.19,0,1,0,69.86,11.43,0.99,0.244,16.2,56.0,1662.4,no_risk
VH-0001,2024-01-01,Hyundai,Tucson,2019,57887,7,fuel_system,6724,10450,47355,9777,2432.6,822.0,89.4,100.9,14.37,13.38,34.8,31.4,-8.72,6.19,0,1,0,69.86,11.43,0.99,0.244,16.2,56.0,1662.4,medium_risk
VH-0001,2024-01-01,Hyundai,Tucson,2019,57887,7,electrical,6724,10450,47355,9777,2432.6,822.0,89.4,100.9,14.37,13.38,34.8,31.4,-8.72,6.19,0,1,0,69.86,11.43,0.99,0.244,16.2,56.0,1662.4,no_risk
VH-0001,2024-01-19,Hyundai,Tucson,2019,59064,7,battery,511,10288,35477,7714,2360.5,678.7,92.3,105.1,14.19,13.21,52.6,21.3,3.67,2.11,1,2,4,44.85,12.8,0.98,0.341,24.4,19.6,1122.3,low_risk
VH-0001,2024-01-19,Hyundai,Tucson,2019,59064,7,brakes,511,10288,35477,7714,2360.5,678.7,92.3,105.1,14.19,13.21,52.6,21.3,3.67,2.11,1,2,4,44.85,12.8,0.98,0.341,24.4,19.6,1122.3,low_risk
VH-0001,2024-01-19,Hyundai,Tucson,2019,59064,7,cooling_system,511,10288,35477,7714,2360.5,678.7,92.3,105.1,14.19,13.21,52.6,21.3,3.67,2.11,1,2,4,44.85,12.8,0.98,0.341,24.4,19.6,1122.3,high_risk
VH-0001,2024-01-19,Hyundai,Tucson,2019,59064,7,transmission,511,10288,35477,7714,2360.5,678.7,92.3,105.1,14.19,13.21,52.6,21.3,3.67,2.11,1,2,4,44.85,12.8,0.98,0.341,24.4,19.6,1122.3,no_risk
VH-0001,2024-01-19,Hyundai,Tucson,2019,59064,7,engine,511,10288,35477,7714,2360.5,678.7,92.3,105.1,14.19,13.21,52.6,21.3,3.67,2.11,1,2,4,44.85,12.8,0.98,0.341,24.4,19.6,1122.3,no_risk
VH-0001,2024-01-19,Hyundai,Tucson,2019,59064,7,fuel_system,511,10288,35477,7714,2360.5,678.7,92.3,105.1,14.19,13.21,52.6,21.3,3.67,2.11,1,2,4,44.85,12.8,0.98,0.341,24.4,19.6,1122.3,no_risk
